URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/uv/ips/CodeSystem/absent-unknown-uv-ips,1.1.0,active,,AbsentAndUnknownDataUvIps,Absent and Unknown Data - IPS,"International Patient Summary (IPS) codes for ""known absent"" and ""not known"" data.","ValueSet/1.2.250.1.213.1.1.5.661"
https://mos.esante.gouv.fr/NOS/TRE_R208-ClasseAge/FHIR/TRE-R208-ClasseAge,0.1.0,active,"1.2.250.1.213.3.3.9",TRE_R208_ClasseAge,,"Classe d'âge","ValueSet/JDV-J15-ClasseAge-ROR"
