Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.ig-test.json	2321	-	0	0	0	0	0	0	3	257	0	0	0	0	0	0	0	0	0	0	71	96	0	0	0	4	0	2
fsh-generated/resources/CodeSystem-TRE-R208-ClasseAge.json	5643	17	0	0	1	0	1	1	1	33	0	0	0	0	0	0	0	0	0	0	28	2254	0	0	0	2	0	0
fsh-generated/resources/ValueSet-1.2.250.1.213.1.1.5.661.json	1902	14	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	19	121	0	0	0	1	0	0
fsh-generated/resources/ValueSet-JDV-J15-ClasseAge-ROR.json	1941	16	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	14	94	0	0	0	0	0	0
